dac_v,adc_a,adc_b,i_feed,q_feed
-8.000000000000000444e-01,6.823700000000000598e-02,8.044400000000000162e-02,7.397499999999999909e-02,8.264199999999999324e-02
-7.980000000000000426e-01,7.202100000000000168e-02,7.727100000000000635e-02,7.287599999999999634e-02,7.348599999999999577e-02
-7.960000000000000409e-01,6.127900000000000014e-02,2.014200000000000018e-02,6.201199999999999768e-02,1.904300000000000090e-02
-7.940000000000000391e-01,4.809599999999999986e-02,-2.954100000000000129e-02,4.711900000000000116e-02,-2.819800000000000084e-02
-7.920000000000000373e-01,3.540000000000000091e-02,-9.375000000000000000e-02,4.003899999999999820e-02,-9.277299999999999436e-02
-7.900000000000000355e-01,1.977500000000000091e-02,-1.627200000000000035e-01,2.417000000000000051e-02,-1.630860000000000087e-01
-7.880000000000000338e-01,2.417000000000000051e-02,-1.809080000000000132e-01,1.940899999999999917e-02,-1.813960000000000017e-01
-7.860000000000000320e-01,1.892100000000000032e-02,-2.095950000000000035e-01,2.490200000000000052e-02,-2.091059999999999863e-01
-7.840000000000000302e-01,2.612300000000000039e-02,-2.194820000000000104e-01,2.966299999999999840e-02,-2.210689999999999877e-01
-7.820000000000000284e-01,3.088400000000000173e-02,-2.165529999999999955e-01,3.454600000000000032e-02,-2.189939999999999942e-01
-7.800000000000000266e-01,3.015100000000000072e-02,-2.285159999999999969e-01,3.271500000000000102e-02,-2.279049999999999965e-01
-7.780000000000000249e-01,2.917499999999999954e-02,-2.271730000000000138e-01,3.430199999999999916e-02,-2.275389999999999913e-01
-7.760000000000000231e-01,3.649899999999999672e-02,-2.211909999999999987e-01,3.308099999999999929e-02,-2.213130000000000097e-01
-7.740000000000000213e-01,4.186999999999999750e-02,-2.110599999999999976e-01,3.601100000000000134e-02,-2.109379999999999866e-01
-7.720000000000000195e-01,3.930700000000000166e-02,-2.143549999999999900e-01,4.540999999999999898e-02,-2.144780000000000020e-01
-7.700000000000000178e-01,4.077100000000000168e-02,-2.067869999999999986e-01,4.418899999999999911e-02,-2.056880000000000097e-01
-7.680000000000000160e-01,3.759799999999999948e-02,-2.073969999999999980e-01,3.881799999999999834e-02,-2.070309999999999928e-01
-7.660000000000000142e-01,5.737300000000000039e-02,-1.934809999999999863e-01,4.479999999999999954e-02,-1.977540000000000131e-01
-7.640000000000000124e-01,4.516599999999999782e-02,-1.895749999999999935e-01,4.687500000000000000e-02,-1.900630000000000097e-01
-7.620000000000000107e-01,4.162600000000000328e-02,-1.951900000000000024e-01,4.565400000000000014e-02,-1.939700000000000035e-01
-7.600000000000000089e-01,4.821799999999999697e-02,-1.844480000000000008e-01,4.650900000000000173e-02,-1.840819999999999956e-01
-7.580000000000000071e-01,4.357899999999999968e-02,-1.630860000000000087e-01,3.918499999999999761e-02,-1.651610000000000023e-01
-7.560000000000000053e-01,4.162600000000000328e-02,-1.337889999999999913e-01,3.747600000000000237e-02,-1.347659999999999969e-01
-7.540000000000000036e-01,3.466799999999999743e-02,-1.303709999999999869e-01,3.161599999999999827e-02,-1.307369999999999921e-01
-7.520000000000000018e-01,2.014200000000000018e-02,-8.837899999999999923e-02,1.806599999999999873e-02,-8.593800000000000050e-02
-7.500000000000000000e-01,-4.517000000000000182e-03,-4.113800000000000096e-02,-7.812000000000000367e-03,-4.016100000000000225e-02
-7.479999999999999982e-01,-3.662100000000000077e-02,-9.770000000000000039e-04,-3.308099999999999929e-02,-1.343000000000000010e-03
-7.459999999999999964e-01,-4.113800000000000096e-02,3.271500000000000102e-02,-4.687500000000000000e-02,3.320300000000000334e-02
