dac_v,adc_a,adc_b,i_feed,q_feed
-8.679999999999999938e-01,-1.306200000000000069e-02,-5.858999999999999625e-03,-1.928699999999999859e-02,-7.689999999999999787e-03
-8.659999999999999920e-01,-2.612300000000000039e-02,-3.405799999999999800e-02,-2.099600000000000077e-02,-3.491199999999999859e-02
-8.639999999999999902e-01,-2.404799999999999993e-02,-2.612300000000000039e-02,-2.123999999999999846e-02,-2.368200000000000166e-02
-8.619999999999999885e-01,-2.099600000000000077e-02,-2.246099999999999833e-02,-2.551300000000000096e-02,-2.172899999999999832e-02
-8.599999999999999867e-01,-2.136199999999999904e-02,-2.856399999999999911e-02,-1.818799999999999931e-02,-2.807600000000000026e-02
-8.579999999999999849e-01,-2.514600000000000168e-02,-1.562500000000000000e-02,-2.014200000000000018e-02,-1.562500000000000000e-02
-8.559999999999999831e-01,-1.721200000000000160e-02,-3.174000000000000172e-03,-2.185099999999999890e-02,-3.540000000000000178e-03
-8.539999999999999813e-01,-2.123999999999999846e-02,-2.453599999999999878e-02,-1.599099999999999827e-02,-2.404799999999999993e-02
-8.519999999999999796e-01,-2.380399999999999877e-02,-2.014200000000000018e-02,-1.782200000000000104e-02,-1.892100000000000032e-02
-8.499999999999999778e-01,-2.343800000000000050e-02,-2.258299999999999891e-02,-2.539100000000000038e-02,-2.233900000000000122e-02
-8.479999999999999760e-01,-2.563500000000000154e-02,-2.001999999999999960e-02,-2.551300000000000096e-02,-1.892100000000000032e-02
-8.459999999999999742e-01,-2.221700000000000064e-02,-1.220700000000000084e-02,-2.050799999999999845e-02,-1.281700000000000027e-02
-8.439999999999999725e-01,-2.368200000000000166e-02,-3.173800000000000232e-02,-1.831100000000000089e-02,-2.990699999999999956e-02
-8.419999999999999707e-01,-1.452600000000000072e-02,-9.643999999999999795e-03,-2.001999999999999960e-02,-9.398999999999999369e-03
-8.399999999999999689e-01,-2.172899999999999832e-02,1.464999999999999939e-03,-1.879899999999999974e-02,3.052000000000000025e-03
-8.379999999999999671e-01,-2.307100000000000123e-02,-2.197299999999999948e-02,-2.905299999999999896e-02,-2.429200000000000109e-02
-8.359999999999999654e-01,-1.538100000000000057e-02,-7.812000000000000367e-03,-1.647900000000000059e-02,-9.398999999999999369e-03
-8.339999999999999636e-01,-1.867699999999999916e-02,-3.796399999999999775e-02,-2.160600000000000021e-02,-3.418000000000000205e-02
-8.319999999999999618e-01,-1.806599999999999873e-02,-1.770000000000000046e-02,-2.294900000000000065e-02,-1.879899999999999974e-02
-8.299999999999999600e-01,-1.940899999999999917e-02,-2.734400000000000025e-02,-1.745599999999999929e-02,-2.636700000000000155e-02
-8.279999999999999583e-01,-1.696800000000000044e-02,-3.174000000000000172e-03,-1.489299999999999999e-02,-4.394999999999999601e-03
-8.259999999999999565e-01,-1.867699999999999916e-02,-1.208500000000000026e-02,-1.672399999999999928e-02,-1.293900000000000085e-02
-8.239999999999999547e-01,-2.600099999999999981e-02,-6.470000000000000057e-03,-2.123999999999999846e-02,-5.249000000000000193e-03
-8.219999999999999529e-01,-2.233900000000000122e-02,-2.123999999999999846e-02,-1.770000000000000046e-02,-2.160600000000000021e-02
-8.199999999999999512e-01,-1.635700000000000001e-02,-2.429200000000000109e-02,-2.197299999999999948e-02,-2.551300000000000096e-02
-8.179999999999999494e-01,-2.600099999999999981e-02,-2.880900000000000127e-02,-2.099600000000000077e-02,-2.734400000000000025e-02
-8.159999999999999476e-01,-2.368200000000000166e-02,-1.403800000000000013e-02,-1.818799999999999931e-02,-1.281700000000000027e-02
-8.139999999999999458e-01,-1.855499999999999858e-02,-2.722199999999999967e-02,-1.562500000000000000e-02,-2.941900000000000071e-02
-8.120000000000000551e-01,-1.904300000000000090e-02,-2.587899999999999923e-02,-1.940899999999999917e-02,-2.526899999999999979e-02
-8.100000000000000533e-01,-2.600099999999999981e-02,-3.210400000000000059e-02,-2.197299999999999948e-02,-3.088400000000000173e-02
-8.080000000000000515e-01,-1.843300000000000147e-02,-2.612300000000000039e-02,-2.380399999999999877e-02,-2.648899999999999866e-02
-8.060000000000000497e-01,-2.221700000000000064e-02,-3.015100000000000072e-02,-1.940899999999999917e-02,-3.198199999999999654e-02
-8.040000000000000480e-01,-2.441400000000000167e-02,-9.398999999999999369e-03,-1.892100000000000032e-02,-4.883000000000000188e-03
-8.020000000000000462e-01,-1.757799999999999987e-02,-7.812000000000000367e-03,-1.538100000000000057e-02,-8.300999999999999351e-03
-8.000000000000000444e-01,-1.550299999999999942e-02,-1.245100000000000026e-02,-1.831100000000000089e-02,-2.123999999999999846e-02
-7.980000000000000426e-01,-2.453599999999999878e-02,-1.623499999999999943e-02,-1.843300000000000147e-02,-1.293900000000000085e-02
-7.960000000000000409e-01,-2.795399999999999968e-02,-2.502400000000000110e-02,-2.258299999999999891e-02,-2.331499999999999892e-02
-7.940000000000000391e-01,-1.477099999999999941e-02,-2.258299999999999891e-02,-1.965300000000000033e-02,-2.526899999999999979e-02
-7.920000000000000373e-01,-2.209500000000000006e-02,-2.111800000000000135e-02,-1.867699999999999916e-02,-2.075199999999999961e-02
-7.900000000000000355e-01,-1.928699999999999859e-02,-1.464999999999999939e-03,-2.392599999999999935e-02,-1.953000000000000092e-03
-7.880000000000000338e-01,-1.647900000000000059e-02,-1.196299999999999968e-02,-1.904300000000000090e-02,-1.403800000000000013e-02
-7.860000000000000320e-01,-2.233900000000000122e-02,-3.210400000000000059e-02,-1.916500000000000148e-02,-3.479000000000000148e-02
-7.840000000000000302e-01,-2.502400000000000110e-02,-2.661099999999999924e-02,-2.307100000000000123e-02,-2.600099999999999981e-02
-7.820000000000000284e-01,-2.062999999999999903e-02,-2.587899999999999923e-02,-2.221700000000000064e-02,-2.783199999999999910e-02
-7.800000000000000266e-01,-2.050799999999999845e-02,-2.453599999999999878e-02,-1.794400000000000162e-02,-2.429200000000000109e-02
-7.780000000000000249e-01,-1.989700000000000149e-02,-3.784000000000000037e-03,-1.757799999999999987e-02,-4.271999999999999756e-03
-7.760000000000000231e-01,-1.562500000000000000e-02,-1.232899999999999968e-02,-1.440400000000000014e-02,-1.208500000000000026e-02
-7.740000000000000213e-01,-2.087400000000000019e-02,-3.369099999999999873e-02,-2.111800000000000135e-02,-3.332500000000000046e-02
-7.720000000000000195e-01,-2.465799999999999936e-02,-1.757799999999999987e-02,-2.123999999999999846e-02,-1.721200000000000160e-02
-7.700000000000000178e-01,-1.770000000000000046e-02,-9.643999999999999795e-03,-2.246099999999999833e-02,-7.446000000000000361e-03
-7.680000000000000160e-01,-2.099600000000000077e-02,-2.172899999999999832e-02,-1.574700000000000058e-02,-1.831100000000000089e-02
-7.660000000000000142e-01,-1.660199999999999870e-02,-9.398999999999999369e-03,-2.038600000000000134e-02,-1.000999999999999980e-02
-7.640000000000000124e-01,-2.099600000000000077e-02,-1.709000000000000102e-02,-2.160600000000000021e-02,-1.806599999999999873e-02
-7.620000000000000107e-01,-1.818799999999999931e-02,-1.562500000000000000e-02,-1.904300000000000090e-02,-1.452600000000000072e-02
-7.600000000000000089e-01,-2.038600000000000134e-02,-1.647900000000000059e-02,-1.928699999999999859e-02,-1.330600000000000012e-02
-7.580000000000000071e-01,-1.940899999999999917e-02,-2.685500000000000040e-02,-2.551300000000000096e-02,-2.770999999999999852e-02
-7.560000000000000053e-01,-2.160600000000000021e-02,-3.247099999999999986e-02,-1.879899999999999974e-02,-3.015100000000000072e-02
-7.540000000000000036e-01,-2.160600000000000021e-02,-2.722199999999999967e-02,-1.770000000000000046e-02,-2.575699999999999865e-02
-7.520000000000000018e-01,-2.307100000000000123e-02,-3.210400000000000059e-02,-2.123999999999999846e-02,-3.173800000000000232e-02
-7.500000000000000000e-01,-2.026400000000000076e-02,-3.649899999999999672e-02,-1.818799999999999931e-02,-3.723100000000000021e-02
-7.479999999999999982e-01,-2.111800000000000135e-02,-1.879899999999999974e-02,-2.600099999999999981e-02,-2.001999999999999960e-02
-7.459999999999999964e-01,-2.123999999999999846e-02,-2.014200000000000018e-02,-2.172899999999999832e-02,-1.989700000000000149e-02
-7.439999999999999947e-01,-1.928699999999999859e-02,-1.953099999999999975e-02,-1.489299999999999999e-02,-1.892100000000000032e-02
-7.419999999999999929e-01,-2.099600000000000077e-02,-1.525899999999999999e-02,-1.977500000000000091e-02,-1.403800000000000013e-02
-7.399999999999999911e-01,-2.270499999999999949e-02,-2.758800000000000141e-02,-1.709000000000000102e-02,-2.734400000000000025e-02
-7.379999999999999893e-01,-1.757799999999999987e-02,-2.160600000000000021e-02,-2.294900000000000065e-02,-2.282700000000000007e-02
-7.359999999999999876e-01,-1.831100000000000089e-02,-3.320300000000000334e-02,-1.696800000000000044e-02,-3.515599999999999975e-02
-7.339999999999999858e-01,-1.562500000000000000e-02,-6.591999999999999769e-03,-1.647900000000000059e-02,-6.225999999999999764e-03
-7.319999999999999840e-01,-1.867699999999999916e-02,-3.308099999999999929e-02,-1.794400000000000162e-02,-3.271500000000000102e-02
-7.299999999999999822e-01,-2.477999999999999994e-02,-8.056999999999999926e-03,-1.916500000000000148e-02,-6.104000000000000051e-03
-7.279999999999999805e-01,-2.221700000000000064e-02,-3.112799999999999942e-02,-2.001999999999999960e-02,-3.161599999999999827e-02
-7.259999999999999787e-01,-1.684599999999999986e-02,-3.234900000000000275e-02,-2.087400000000000019e-02,-3.222699999999999870e-02
-7.239999999999999769e-01,-2.453599999999999878e-02,-2.697799999999999851e-02,-2.014200000000000018e-02,-2.526899999999999979e-02
-7.219999999999999751e-01,-2.014200000000000018e-02,-1.184100000000000083e-02,-1.709000000000000102e-02,-1.025399999999999923e-02
-7.199999999999999734e-01,-1.879899999999999974e-02,-2.233900000000000122e-02,-1.757799999999999987e-02,-2.172899999999999832e-02
-7.179999999999999716e-01,-2.026400000000000076e-02,-2.575699999999999865e-02,-1.879899999999999974e-02,-2.856399999999999911e-02
-7.159999999999999698e-01,-1.806599999999999873e-02,-2.368200000000000166e-02,-2.380399999999999877e-02,-1.965300000000000033e-02
-7.139999999999999680e-01,-1.574700000000000058e-02,-1.782200000000000104e-02,-1.379400000000000071e-02,-1.867699999999999916e-02
-7.119999999999999662e-01,-1.953099999999999975e-02,-1.245100000000000026e-02,-1.684599999999999986e-02,-1.379400000000000071e-02
-7.099999999999999645e-01,-2.099600000000000077e-02,-4.016100000000000225e-02,-1.940899999999999917e-02,-4.101599999999999691e-02
-7.079999999999999627e-01,-2.185099999999999890e-02,-1.989700000000000149e-02,-1.733399999999999871e-02,-2.038600000000000134e-02
-7.059999999999999609e-01,-2.209500000000000006e-02,-3.601100000000000134e-02,-2.062999999999999903e-02,-3.540000000000000091e-02
-7.039999999999999591e-01,-1.562500000000000000e-02,-2.477999999999999994e-02,-1.855499999999999858e-02,-2.539100000000000038e-02
-7.019999999999999574e-01,-1.586900000000000116e-02,-1.684599999999999986e-02,-1.464799999999999956e-02,-1.574700000000000058e-02
-6.999999999999999556e-01,-1.440400000000000014e-02,-1.293900000000000085e-02,-2.209500000000000006e-02,-1.379400000000000071e-02
-6.979999999999999538e-01,-2.160600000000000021e-02,-4.162600000000000328e-02,-1.660199999999999870e-02,-4.345700000000000257e-02
-6.959999999999999520e-01,-1.586900000000000116e-02,-2.514600000000000168e-02,-2.038600000000000134e-02,-2.575699999999999865e-02
-6.939999999999999503e-01,-1.818799999999999931e-02,-3.064000000000000057e-02,-1.989700000000000149e-02,-3.088400000000000173e-02
-6.919999999999999485e-01,-1.928699999999999859e-02,-2.526899999999999979e-02,-1.635700000000000001e-02,-2.539100000000000038e-02
-6.899999999999999467e-01,-1.733399999999999871e-02,-1.330600000000000012e-02,-2.270499999999999949e-02,-1.330600000000000012e-02
-6.879999999999999449e-01,-1.928699999999999859e-02,-2.722199999999999967e-02,-2.343800000000000050e-02,-2.770999999999999852e-02
-6.860000000000000542e-01,-1.879899999999999974e-02,-4.431199999999999722e-02,-1.782200000000000104e-02,-4.528800000000000187e-02
-6.840000000000000524e-01,-2.221700000000000064e-02,-3.759799999999999948e-02,-2.307100000000000123e-02,-3.698699999999999904e-02
-6.820000000000000506e-01,-2.331499999999999892e-02,-1.464799999999999956e-02,-1.843300000000000147e-02,-1.501500000000000057e-02
-6.800000000000000488e-01,-1.452600000000000072e-02,-2.807600000000000026e-02,-2.111800000000000135e-02,-2.746600000000000083e-02
-6.780000000000000471e-01,-2.038600000000000134e-02,-5.151399999999999729e-02,-1.709000000000000102e-02,-5.273400000000000309e-02
-6.760000000000000453e-01,-1.525899999999999999e-02,-5.444299999999999834e-02,-2.282700000000000007e-02,-5.407700000000000007e-02
-6.740000000000000435e-01,-1.440400000000000014e-02,-6.091300000000000187e-02,-1.098599999999999924e-02,-6.091300000000000187e-02
-6.720000000000000417e-01,-7.934999999999999346e-03,-4.675300000000000289e-02,-9.277000000000000524e-03,-4.638699999999999768e-02
-6.700000000000000400e-01,-6.099999999999999737e-04,-6.506299999999999584e-02,7.320000000000000118e-04,-6.408700000000000507e-02
-6.680000000000000382e-01,1.221000000000000080e-03,-5.224600000000000077e-02,-1.709000000000000016e-03,-5.297899999999999832e-02
-6.660000000000000364e-01,6.099999999999999737e-04,-6.774900000000000366e-02,3.418000000000000031e-03,-6.604000000000000148e-02
-6.640000000000000346e-01,1.464799999999999956e-02,-7.666000000000000592e-02,1.464799999999999956e-02,-7.629400000000000071e-02
-6.620000000000000329e-01,1.843300000000000147e-02,-6.140099999999999725e-02,2.148399999999999962e-02,-5.932599999999999679e-02
-6.600000000000000311e-01,2.160600000000000021e-02,-3.979499999999999704e-02,2.807600000000000026e-02,-3.906199999999999950e-02
-6.580000000000000293e-01,3.076200000000000115e-02,-5.639600000000000168e-02,3.198199999999999654e-02,-5.261199999999999904e-02
-6.560000000000000275e-01,2.514600000000000168e-02,-5.651899999999999979e-02,2.026400000000000076e-02,-5.737300000000000039e-02
-6.540000000000000258e-01,2.563500000000000154e-02,-5.822800000000000198e-02,3.100599999999999884e-02,-5.554200000000000109e-02
-6.520000000000000240e-01,3.552199999999999802e-02,-3.381300000000000278e-02,3.381300000000000278e-02,-3.625500000000000250e-02
-6.500000000000000222e-01,2.832000000000000142e-02,-4.077100000000000168e-02,3.295900000000000218e-02,-3.942899999999999877e-02
-6.480000000000000204e-01,3.405799999999999800e-02,-5.334499999999999659e-02,3.173800000000000232e-02,-5.395500000000000296e-02
-6.460000000000000187e-01,2.685500000000000040e-02,-4.809599999999999986e-02,3.259299999999999697e-02,-4.528800000000000187e-02
-6.440000000000000169e-01,2.807600000000000026e-02,-5.566399999999999820e-02,2.832000000000000142e-02,-5.737300000000000039e-02
-6.420000000000000151e-01,4.113800000000000096e-02,-5.004900000000000321e-02,4.394499999999999795e-02,-5.127000000000000307e-02
-6.400000000000000133e-01,3.393600000000000089e-02,-6.091300000000000187e-02,3.393600000000000089e-02,-6.237800000000000289e-02
-6.380000000000000115e-01,4.101599999999999691e-02,-5.371100000000000180e-02,4.296900000000000025e-02,-5.371100000000000180e-02
-6.360000000000000098e-01,4.382300000000000084e-02,-7.836899999999999422e-02,4.174800000000000039e-02,-7.739300000000000346e-02
-6.340000000000000080e-01,4.370099999999999679e-02,-9.277299999999999436e-02,3.601100000000000134e-02,-9.106400000000000605e-02
-6.320000000000000062e-01,4.638699999999999768e-02,-1.003420000000000006e-01,4.736300000000000232e-02,-1.013180000000000053e-01
-6.300000000000000044e-01,4.614300000000000346e-02,-8.618199999999999472e-02,4.882800000000000334e-02,-8.557099999999999429e-02
-6.280000000000000027e-01,4.272499999999999909e-02,-9.289600000000000635e-02,3.833000000000000296e-02,-9.423800000000000232e-02
-6.260000000000000009e-01,4.614300000000000346e-02,-1.153560000000000002e-01,4.907199999999999757e-02,-1.177979999999999999e-01
-6.239999999999999991e-01,4.736300000000000232e-02,-1.066890000000000061e-01,5.151399999999999729e-02,-1.081540000000000001e-01
-6.219999999999999973e-01,5.163600000000000134e-02,-1.068120000000000042e-01,5.541999999999999704e-02,-1.046139999999999987e-01
-6.199999999999999956e-01,5.969200000000000200e-02,-9.216299999999999493e-02,5.786100000000000271e-02,-9.081999999999999795e-02
-6.179999999999999938e-01,7.238799999999999402e-02,-9.704599999999999338e-02,7.067900000000000571e-02,-9.948700000000000598e-02
-6.159999999999999920e-01,8.691400000000000514e-02,-1.082759999999999972e-01,9.020999999999999852e-02,-1.076659999999999978e-01
-6.139999999999999902e-01,9.020999999999999852e-02,-8.593800000000000050e-02,9.411600000000000521e-02,-8.386200000000000598e-02
-6.119999999999999885e-01,1.081540000000000001e-01,-9.033199999999999563e-02,1.147460000000000008e-01,-8.911099999999999577e-02
-6.099999999999999867e-01,1.521000000000000130e-01,-6.897000000000000353e-02,1.499020000000000075e-01,-6.970200000000000007e-02
-6.079999999999999849e-01,1.566160000000000052e-01,-7.043499999999999761e-02,1.639400000000000024e-01,-7.116699999999999415e-02
-6.059999999999999831e-01,1.807860000000000023e-01,-3.955100000000000282e-02,1.793210000000000082e-01,-3.747600000000000237e-02
-6.039999999999999813e-01,2.094729999999999925e-01,-5.004999999999999900e-03,2.119139999999999913e-01,-4.883000000000000188e-03
-6.019999999999999796e-01,2.064209999999999934e-01,3.845200000000000007e-02,2.115480000000000138e-01,4.455599999999999838e-02
-5.999999999999999778e-01,2.045899999999999941e-01,5.688499999999999807e-02,2.043459999999999999e-01,6.750499999999999556e-02
-5.979999999999999760e-01,1.978759999999999963e-01,9.497099999999999986e-02,1.925050000000000094e-01,9.509299999999999697e-02
-5.959999999999999742e-01,1.730959999999999999e-01,1.412349999999999994e-01,1.654049999999999965e-01,1.436769999999999992e-01
-5.939999999999999725e-01,1.334230000000000138e-01,1.726070000000000104e-01,1.380619999999999903e-01,1.712650000000000006e-01
-5.919999999999999707e-01,1.197509999999999963e-01,1.911619999999999986e-01,1.165770000000000001e-01,1.911619999999999986e-01
-5.899999999999999689e-01,8.007799999999999641e-02,2.167969999999999897e-01,7.775899999999999479e-02,2.159419999999999951e-01
-5.879999999999999671e-01,5.261199999999999904e-02,2.281489999999999907e-01,5.151399999999999729e-02,2.257079999999999920e-01
-5.859999999999999654e-01,4.321300000000000141e-02,2.282710000000000017e-01,3.613299999999999845e-02,2.271730000000000138e-01
-5.839999999999999636e-01,2.477999999999999994e-02,2.348629999999999884e-01,2.062999999999999903e-02,2.340089999999999948e-01
-5.819999999999999618e-01,2.563000000000000174e-03,2.376709999999999934e-01,4.517000000000000182e-03,2.385249999999999870e-01
-5.799999999999999600e-01,-9.766000000000000375e-03,2.434080000000000132e-01,-1.184100000000000083e-02,2.410889999999999977e-01
-5.779999999999999583e-01,-2.001999999999999960e-02,2.409669999999999868e-01,-2.404799999999999993e-02,2.413329999999999920e-01
-5.759999999999999565e-01,-2.636700000000000155e-02,2.393800000000000094e-01,-2.758800000000000141e-02,2.407229999999999925e-01
-5.739999999999999547e-01,-2.368200000000000166e-02,2.299799999999999900e-01,-2.087400000000000019e-02,2.305909999999999904e-01
-5.719999999999999529e-01,-1.818799999999999931e-02,1.586909999999999987e-01,-1.611299999999999885e-02,1.574709999999999999e-01
-5.699999999999999512e-01,-6.091300000000000187e-02,-2.233900000000000122e-02,-6.408700000000000507e-02,-2.477999999999999994e-02
