time,sample,out1_s16,out2_s16,out1_u14,out2_u14
805000,399,-9926,2780,10673,7496
807000,400,-13008,-509,11443,8319
809000,401,-15959,-3793,12181,9140
811000,402,-18749,-7038,12879,9951
813000,403,-21350,-10213,13529,10745
815000,404,-23736,-13284,14125,11512
817000,405,-25882,-16222,14662,12247
819000,406,-27767,-18996,15133,12940
821000,407,-29372,-21578,15534,13586
823000,408,-30681,-23943,15862,14177
825000,409,-31680,-26066,16111,14708
827000,410,-32360,-27926,16281,15173
829000,411,-32713,-29504,16370,15567
831000,412,-32737,-30785,16376,15888
833000,413,-32430,-31756,16299,16130
835000,414,-31796,-32406,16140,16293
837000,415,-30841,-32729,15902,16374
839000,416,-29575,-32722,15585,16372
841000,417,-28011,-32385,15194,16288
843000,418,-26164,-31721,14732,16122
845000,419,-24054,-30738,14205,15876
847000,420,-21701,-29444,13617,15552
849000,421,-19129,-27853,12974,15155
851000,422,-16364,-25982,12282,14687
853000,423,-13433,-23848,11550,14153
855000,424,-10368,-21474,10783,13560
857000,425,-7198,-18883,9991,12912
859000,426,-3955,-16102,9180,12217
861000,427,-672,-13158,8359,11481
863000,428,2617,-10081,7537,10712
865000,429,5880,-6903,6721,9917
867000,430,9084,-3655,5920,9105
869000,431,12196,-371,5142,8284
871000,432,15185,2918,4395,7462
873000,433,18021,6177,3686,6647
875000,434,20675,9373,3023,5848
877000,435,23121,12476,2411,5072
879000,436,25333,15452,1858,4328
881000,437,27290,18272,1369,3623
883000,438,28972,20908,948,2964
885000,439,30361,23334,601,2358
887000,440,31444,25523,330,1811
889000,441,32210,27456,139,1327
891000,442,32651,29111,29,914
893000,443,32763,30473,1,573
895000,444,32544,31528,55,309
897000,445,31997,32264,192,125
899000,446,31127,32675,410,23
901000,447,29943,32756,706,2
903000,448,28457,32507,1077,65
905000,449,26684,31930,1520,209
907000,450,24642,31031,2031,434
909000,451,22352,29819,2603,737
911000,452,19836,28307,3232,1115
913000,453,17120,26508,3911,1564
915000,454,14231,24443,4634,2081
