freq_hz,adc_b
1.518295846430860227e+06,8.875895904095463765e-07
1.522110660115359817e+06,3.890679584921592521e-06
1.525925473799859639e+06,4.094170401827531925e-06
1.529740287484359229e+06,9.593707837818123387e-07
1.533555101168858819e+06,8.331124856657055221e-07
1.537369914853358408e+06,2.371520745189429018e-06
1.541184728537858231e+06,1.540376124187478145e-06
1.544999542222357821e+06,6.406531430925220726e-07
1.548814355906857410e+06,5.122968608874531409e-07
1.552629169591357000e+06,7.885825667488015059e-07
1.556443983275856823e+06,1.815023763487665350e-06
1.560258796960356412e+06,5.055803735898132160e-07
1.564073610644856002e+06,8.360918386377465260e-07
1.567888424329355592e+06,1.172022765569699173e-06
1.571703238013855414e+06,9.345463296435161674e-07
1.575518051698355004e+06,5.734848130040106313e-09
1.579332865382854594e+06,1.805315309606046620e-06
1.583147679067354184e+06,1.263452477029132573e-06
1.586962492751854006e+06,3.671308445983975663e-07
1.590777306436353596e+06,6.544007016737230565e-07
1.594592120120853186e+06,2.503953500548459977e-08
1.598406933805352775e+06,3.399394028317218076e-08
1.602221747489852598e+06,3.214149437617594288e-08
1.606036561174352188e+06,4.860937224730997531e-07
1.609851374858851777e+06,1.269158928130669383e-06
1.613666188543351367e+06,2.468297448620168725e-07
1.617481002227851190e+06,1.939008024959265212e-07
1.621295815912350779e+06,2.261794452364499118e-07
1.625110629596850369e+06,3.201490730884021193e-07
1.628925443281349959e+06,9.294135853225296490e-08
1.632740256965849781e+06,1.674418141837911528e-06
1.636555070650349371e+06,4.633905194266599707e-07
1.640369884334848961e+06,5.042232473672935209e-07
1.644184698019348551e+06,2.739637791523434247e-07
1.647999511703848373e+06,7.252810183845244042e-07
1.651814325388347963e+06,9.734778551148948382e-07
1.655629139072847553e+06,1.093346098863759214e-06
1.659443952757347142e+06,1.143937841164296560e-06
1.663258766441846965e+06,1.889733771584484698e-07
1.667073580126346555e+06,2.148608210578553982e-06
1.670888393810846144e+06,7.872991418611541741e-07
1.674703207495345734e+06,2.384437843261508286e-08
1.678518021179845557e+06,1.136802107783098194e-07
1.682332834864345146e+06,1.707701523985105609e-07
1.686147648548844736e+06,9.714295626844947462e-09
1.689962462233344326e+06,1.120987036034881164e-06
1.693777275917844148e+06,8.975736392832415459e-07
1.697592089602343738e+06,2.345685883010303498e-07
1.701406903286843328e+06,1.160470350399403524e-06
1.705221716971342918e+06,1.434749587370990257e-06
1.709036530655842740e+06,3.284376938618108571e-06
1.712851344340342330e+06,6.201702863379763161e-07
1.716666158024841920e+06,3.465373304035824870e-07
1.720480971709341742e+06,5.711427682474733147e-08
1.724295785393841332e+06,4.692195820688966885e-07
1.728110599078340922e+06,1.926351823921835363e-07
1.731925412762840511e+06,6.456392490375687486e-07
1.735740226447340334e+06,1.346499922378164639e-09
1.739555040131839924e+06,1.645657006340530193e-06
1.743369853816339513e+06,9.307755261829938422e-07
1.747184667500839103e+06,1.236134840704948332e-06
1.750999481185338926e+06,8.134567788867904949e-07
1.754814294869838515e+06,1.049160048893248939e-06
1.758629108554338105e+06,2.165291234902555545e-06
1.762443922238837695e+06,1.954872837480338569e-07
1.766258735923337517e+06,4.782394952543463593e-07
1.770073549607837107e+06,6.980181242090549548e-07
1.773888363292336697e+06,2.385549733410549413e-06
1.777703176976836286e+06,9.119094961022520597e-07
1.781517990661336109e+06,2.027154557092422283e-08
1.785332804345835699e+06,3.700858815036314847e-07
1.789147618030335288e+06,7.554650669808670348e-07
1.792962431714834878e+06,1.691751794951377335e-07
1.796777245399334701e+06,1.451911622140619000e-07
1.800592059083834291e+06,3.064416427950429223e-07
1.804406872768333880e+06,5.684184534512871406e-07
1.808221686452833470e+06,7.004591810350497541e-07
1.812036500137333293e+06,8.183112987385193151e-07
1.815851313821832882e+06,6.837016498589712023e-07
1.819666127506332472e+06,1.174890768651189653e-07
1.823480941190832062e+06,1.499558270093659649e-07
1.827295754875331884e+06,1.062596130800424585e-08
